"Kod";"Nazwa";"ogółem";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70 i więcej";"70-74";"75-79";"80-84";"85 i więcej";"0-14";
0617000;"Powiat świdnicki";71432;3243;3274;3755;3347;3566;4160;4964;5723;5815;5142;4394;4296;4980;4956;9817;3902;2493;1795;1627;10272;
0618000;"Powiat tomaszowski";81944;3132;3628;4172;3984;4781;5963;5598;6421;6038;5618;5117;5543;6001;5263;10685;4020;2401;2160;2104;10932;
0619000;"Powiat włodawski";37989;1707;1830;2016;1785;2141;2610;2661;2960;2797;2624;2336;2510;2710;2627;4675;1998;984;832;861;5553;
0620000;"Powiat zamojski";105354;4224;4461;5604;5437;6558;7866;7368;7990;7639;7280;6865;6974;7273;6261;13554;4894;3067;2669;2924;14289;
0661000;"Powiat m.Biała Podlaska";56942;2883;2794;2996;2739;2999;3497;4638;4788;4262;3852;3340;3623;4462;4187;5882;2680;1304;1001;897;8673;
0662000;"Powiat m.Chełm";61135;2280;2521;2900;2634;2820;3699;4357;5026;4725;4263;3750;4178;4977;4954;8051;3563;1826;1369;1293;7701;
0663000;"Powiat m.Lublin";338586;17739;16358;16225;14139;14732;17837;28308;30428;27056;23888;19364;19164;23080;23560;46708;18516;11395;8665;8132;50322;
0664000;"Powiat m.Zamość";62785;2600;2789;2973;3104;3061;3768;4553;5502;4763;4047;3690;4014;5280;4850;7791;3270;1824;1438;1259;8362;
0801000;"Powiat gorzowski";72291;3306;3830;4547;3807;4075;4979;5235;6031;6112;5419;4520;4494;5094;4301;6541;3116;1314;1030;1081;11683;
0802000;"Powiat krośnieński";54598;2401;2608;2973;2350;3129;3709;3827;4618;4464;3920;3248;3350;4134;3939;5928;2828;1192;953;955;7982;
0803000;"Powiat międzyrzecki";57100;2591;2820;3149;2535;2926;3741;4319;4783;4514;3911;3367;3692;4385;3935;6432;3081;1250;1079;1022;8560;
0804000;"Powiat nowosolski";85733;3853;4287;4928;4126;4671;5610;5884;7145;6939;5851;4840;5051;6285;6091;10172;4783;1940;1724;1725;13068;
0805000;"Powiat słubicki";46944;2176;2356;2761;2389;2577;3103;3577;4019;3780;3400;2926;3075;3451;2817;4537;2078;974;768;717;7293;
0806000;"Powiat strzelecko-drezdenecki";48621;2250;2507;2832;2318;2682;3312;3520;3894;3766;3330;2862;3007;3617;3293;5431;2545;1108;941;837;7589;
0807000;"Powiat sulęciński";35000;1714;1805;2099;1540;1909;2507;2745;3056;2637;2366;2012;2196;2592;2259;3563;1603;682;644;634;5618;
0808000;"Powiat świebodziński";55520;2808;2892;3095;2686;3071;3562;4026;4779;4430;3780;3148;3486;4112;3706;5939;2860;1150;1046;883;8795;
0809000;"Powiat zielonogórski";75673;3831;3816;4264;3514;4231;5075;5751;6482;6296;5352;4280;4558;5506;5063;7654;3645;1475;1292;1242;11911;
0810000;"Powiat żagański";78148;3418;3573;4318;3591;4312;5046;5490;6689;6274;5533;4488;4990;6086;5484;8856;4131;1639;1577;1509;11309;
0811000;"Powiat żarski";95423;4245;4417;5294;4542;5302;6346;6736;7877;7862;6974;5345;5958;7269;6762;10494;4794;2061;1851;1788;13956;
0812000;"Powiat wschowski";38613;1830;2009;2275;2066;2215;2647;2861;3138;3004;2666;2190;2305;2854;2455;4098;1970;809;671;648;6114;
0861000;"Powiat m.Gorzów Wielkopolski";122589;5806;5989;6399;5710;5313;6390;8744;10785;10644;8520;6968;6854;9078;9459;15930;7508;3276;2712;2434;18194;
0862000;"Powiat m.Zielona Góra";140892;6897;7228;7332;6501;5881;7265;9936;13087;12728;10214;7594;7833;9979;10185;18232;8179;3729;3274;3050;21457;
1001000;"Powiat bełchatowski";112443;5581;6025;6396;5109;5669;7273;8365;10139;9217;7206;6194;7486;9402;7714;10667;4999;2308;1748;1612;18002;
1002000;"Powiat kutnowski";95516;3996;4335;4547;4004;4822;6087;6362;7199;7229;6489;6248;6534;7628;6948;13088;5627;2947;2370;2144;12878;
1003000;"Powiat łaski";49736;2286;2341;2540;2262;2576;3393;3497;4106;3781;3547;3133;3157;3637;3284;6196;2725;1410;1044;1017;7167;
1004000;"Powiat łęczycki";49286;2164;2306;2487;2156;2755;3399;3323;3738;3557;3398;3115;3274;3669;3233;6712;2713;1459;1364;1176;6957;
1005000;"Powiat łowicki";77614;3564;3762;4103;3788;4380;5088;5321;6062;5758;5261;4778;4949;5507;5299;9994;4023;2329;1844;1798;11429;
1006000;"Powiat łódzki wschodni";72565;3434;3790;4277;3602;3679;4331;4782;5778;6070;5559;4767;4553;5022;4819;8102;3597;1925;1326;1254;11501;
1007000;"Powiat opoczyński";75524;3721;3846;4456;3926;4593;5403;5326;5770;5470;5014;4533;4754;5242;4694;8776;3453;1994;1718;1611;12023;
1008000;"Powiat pabianicki";118941;5262;5731;6045;4989;5466;6824;7801;9753;10067;9026;7310;7172;8639;8349;16507;7154;3746;2867;2740;17038;
1009000;"Powiat pajęczański";50952;2289;2375;2609;2309;3093;3684;3703;3765;3818;3609;3338;3165;3578;3196;6421;2559;1396;1185;1281;7273;
1010000;"Powiat piotrkowski";91208;4538;4765;5367;4976;5451;6371;6313;7048;7099;6520;5628;5268;5974;5427;10463;4157;2409;2007;1890;14670;
1011000;"Powiat poddębicki";40906;1919;1961;2079;1805;2177;2909;2885;3017;3015;2854;2772;2573;2899;2632;5409;2283;1222;1031;873;5959;
1012000;"Powiat radomszczański";111696;4827;4944;5810;5309;6272;7841;7481;8186;8378;8195;7248;7034;7885;7583;14703;6077;3324;2831;2471;15581;
1013000;"Powiat rawski";48385;2428;2546;2671;2390;2673;3313;3369;3644;3650;3241;2886;3071;3508;3132;5863;2478;1273;1110;1002;7645;
1014000;"Powiat sieradzki";116918;5551;5662;6183;5516;6783;8514;8238;8810;8454;8212;7416;7690;8045;7241;14603;6175;3281;2672;2475;17396;
1015000;"Powiat skierniewicki";38173;1881;2072;2284;1949;2181;2804;2802;2946;2763;2516;2295;2364;2504;2193;4619;1696;1038;907;978;6237;
1016000;"Powiat tomaszowski";115735;5244;5662;6439;5560;6125;7422;7531;8950;9087;8419;6961;6775;8379;8180;15001;6422;3130;2702;2747;17345;
1017000;"Powiat wieluński";75736;3358;3669;4131;3778;4353;5056;5189;5671;5881;5345;4745;4860;5385;4913;9402;4030;1955;1705;1712;11158;
1018000;"Powiat wieruszowski";41984;2107;2039;2353;2167;2465;3040;2964;3271;3185;3046;2677;2549;2879;2550;4692;2071;1057;791;773;6499;
1019000;"Powiat zduńskowolski";66064;3022;3207;3594;3235;3533;4141;4689;5298;5154;4727;4079;4104;4742;4320;8219;3669;1770;1419;1361;9823;
1020000;"Powiat zgierski";165850;7398;8167;8975;7604;8111;9611;10801;13198;13655;12726;10645;9783;11963;11530;21683;9728;4783;3755;3417;24540;
1021000;"Powiat brzeziński";30648;1475;1498;1657;1410;1592;1990;2114;2442;2446;2251;1993;1791;2162;2076;3751;1574;903;652;622;4630;
1061000;"Powiat m.Łódź";672185;29468;28160;29475;25479;26127;33986;45855;57147;55812;47100;37881;38657;52159;56152;108727;46911;23024;18367;20425;87103;
1062000;"Powiat m.Piotrków Trybunalski";72250;3115;3485;3846;3384;3557;4106;4651;5734;6057;5194;4319;4223;5244;5595;9740;4336;2244;1705;1455;10446;
1063000;"Powiat m.Skierniewice";47655;2412;2551;2626;2100;2203;2735;3181;3912;3808;3163;2772;2953;3661;3677;5901;2662;1321;1033;885;7589;
1201000;"Powiat bocheński";106947;6271;6310;6525;5587;6326;7623;8472;8652;8204;7213;6271;6328;6485;5886;10794;4384;2477;2077;1856;19106;
1202000;"Powiat brzeski";93035;4869;4945;5508;4784;5739;6929;7223;7349;7126;6476;5897;5827;5622;5019;9722;3767;2203;2035;1717;15322;
1203000;"Powiat chrzanowski";123664;5278;5695;6100;5242;5852;7445;8608;10309;10014;8380;7594;8502;9732;8600;16313;6419;3760;3298;2836;17073;
1204000;"Powiat dąbrowski";58977;2875;2859;3055;2805;3613;4553;4550;4962;4559;4228;3921;3835;3707;3095;6360;2283;1425;1381;1271;8789;
1205000;"Powiat gorlicki";108487;5433;5744;6410;5565;6429;7643;8092;8526;7966;7262;6727;7102;7183;6182;12223;4594;2702;2637;2290;17587;
1206000;"Powiat krakowski";281440;14992;15620;16755;14735;15245;17522;20599;23868;23686;20859;17450;16583;18028;16331;29167;11818;6605;5532;5212;47367;
1207000;"Powiat limanowski";132148;8625;8285;8788;8177;9304;10233;9797;10067;9272;8743;7973;7886;7253;5734;12011;4475;2740;2621;2175;25698;
1208000;"Powiat miechowski";48464;2221;2300;2466;2209;2569;3317;3385;3679;3726;3257;2863;2958;3378;3358;6778;2686;1603;1282;1207;6987;
1209000;"Powiat myślenicki";127972;7682;7616;7959;7049;7882;9425;9950;10599;9732;8731;7526;7834;7819;6548;11620;4421;2622;2472;2105;23257;
1210000;"Powiat nowosądecki";217071;13543;13308;14232;13336;14945;16943;16774;16472;15477;14574;13509;13190;11980;9552;19236;7155;4451;4074;3556;41083;
1211000;"Powiat nowotarski";191646;10317;10135;11542;10519;12306;14466;14470;15306;14174;13394;12420;11817;11115;9694;19971;7482;4717;4291;3481;31994;
1212000;"Powiat olkuski";110471;4745;5045;5657;4817;5532;6766;7644;8901;9136;7810;6456;6874;8500;8041;14547;6025;3068;2777;2677;15447;
1213000;"Powiat oświęcimski";152687;7193;7556;8175;7037;7734;9749;10936;12113;11990;10481;9637;9840;11228;9670;19348;7287;4597;4084;3380;22924;
1214000;"Powiat proszowicki";43057;2077;2086;2248;1943;2503;3163;3161;3388;3317;3011;2687;2593;2945;2710;5225;2090;1252;950;933;6411;
1215000;"Powiat suski";83761;4321;4508;5006;4390;5263;6191;6305;6534;6191;5738;5274;5229;5172;4607;9032;3453;1985;1898;1696;13835;
1216000;"Powiat tarnowski";201230;10225;10664;11464;10773;12978;15378;15394;15835;15213;14039;13202;13058;12084;9998;20925;7273;4904;4644;4104;32353;
1217000;"Powiat tatrzański";68049;3475;3727;3665;3545;3851;4745;5097;5358;5069;4598;4231;4336;4368;3967;8017;3033;1869;1615;1500;10867;
1218000;"Powiat wadowicki";159662;8689;8703;9338;8251;9217;11008;11847;12754;12409;11287;10013;9939;10430;9049;16728;6538;3890;3384;2916;26730;
1219000;"Powiat wielicki";130651;7779;7831;8262;6621;6870;8483;9956;11905;11390;9420;7800;7147;7890;7188;12109;5014;2739;2258;2098;23872;
1261000;"Powiat m.Kraków";779966;46349;36954;35365;30045;30865;42214;69719;78080;66204;53479;42399;40714;49109;50541;107929;41076;25550;20342;20961;118668;
1262000;"Powiat m.Nowy Sącz";83558;4553;4125;4553;4341;4374;5027;6163;7145;6618;5555;4931;5251;5676;5131;10115;4163;2365;1983;1604;13231;
1263000;"Powiat m.Tarnów";107498;4499;4519;4857;5024;5204;5763;7502;8945;8415;7380;6683;6922;8033;7621;16131;6156;3770;3302;2903;13875;
1401000;"Powiat białobrzeski";33329;1927;1861;1972;1829;2087;2610;2410;2495;2501;2202;1994;1920;2159;1930;3432;1424;774;631;603;5760;
1402000;"Powiat ciechanowski";88891;4418;4591;4625;4414;5006;6021;6540;6826;6447;5681;5467;5984;7049;5998;9824;4285;2027;1722;1790;13634;
1403000;"Powiat garwoliński";108634;6752;6534;6469;6093;6685;8162;7919;8426;8043;7159;6263;6259;6794;5923;11153;4332;2500;2100;2221;19755;
1404000;"Powiat gostyniński";44581;1846;1988;2319;2092;2556;3084;3032;3457;3269;3259;2839;2839;3455;2911;5635;2470;1238;988;939;6153;
1405000;"Powiat grodziski";97462;5669;5954;6359;4941;4806;5441;6375;8167;8551;7528;5758;5254;6119;5992;10548;4359;2417;1925;1847;17982;
1406000;"Powiat grójecki";97979;5242;5216;5454;4827;5359;6438;6566;7649;7813;6914;5893;5802;6895;6585;11326;4595;2557;2150;2024;15912;
1407000;"Powiat kozienicki";59592;2740;2879;3033;2921;3475;4204;4086;4531;4358;4079;3501;3561;4602;4526;7096;3061;1488;1227;1320;8652;
1408000;"Powiat legionowski";119882;6384;7018;8138;6242;5894;6247;7647;10261;12070;9693;6854;6040;7155;7929;12310;5921;2657;1991;1741;21540;
1409000;"Powiat lipski";33598;1462;1551;1674;1551;1777;2396;2310;2452;2356;2162;2108;2267;2610;2376;4546;1769;1064;818;895;4687;
1410000;"Powiat łosicki";30556;1534;1611;1655;1416;1827;2278;2260;2171;2019;1920;1781;1977;2168;1844;4095;1525;906;832;832;4800;
